category,type,product_group,brand,product_name,size_mm,size_inch,product_code,length,unit,mrp,selling_price,purchase_price,discount,image_url,is_active
Fittings,CPVC,COUPLER,Astral,COUPLER,,,M512111401,,pcs,242,242,,,,true
Fittings,CPVC,COUPLER,Astral,COUPLER,,,M512111402,,pcs,294,294,,,,true
Fittings,CPVC,COUPLER,Astral,COUPLER,,,M512111403,,pcs,523,523,,,,true
Fittings,CPVC,COUPLER,Astral,COUPLER,,,M512111404,,pcs,1089,1089,,,,true
Fittings,CPVC,COUPLER,Astral,COUPLER,,,M512111405,,pcs,1412,1412,,,,true
Fittings,CPVC,COUPLER,Astral,COUPLER,,,M512111406,,pcs,2509,2509,,,,true
Fittings,CPVC,MALE ADAPTOR,Astral,MALE ADAPTOR,,,M512111601,,pcs,29.5,29.5,,,,true
Fittings,CPVC,MALE ADAPTOR,Astral,MALE ADAPTOR,,,M512111602,,pcs,42.5,42.5,,,,true
Fittings,CPVC,MALE ADAPTOR,Astral,MALE ADAPTOR,,,M512111603,,pcs,63,63,,,,true
Fittings,CPVC,MALE ADAPTOR,Astral,MALE ADAPTOR,,,M512111604,,pcs,168,168,,,,true
Fittings,CPVC,MALE ADAPTOR,Astral,MALE ADAPTOR,,,M512111605,,pcs,216,216,,,,true
Fittings,CPVC,MALE ADAPTOR,Astral,MALE ADAPTOR,,,M512111606,,pcs,341,341,,,,true
Fittings,CPVC,ADAPTOR,Astral,ADAPTOR,,,M512111614,,pcs,54,54,,,,true
Fittings,CPVC,ADAPTOR,Astral,ADAPTOR,,,M512111301,,pcs,23,23,,,,true
Fittings,CPVC,ADAPTOR,Astral,ADAPTOR,,,M512111302,,pcs,32.5,32.5,,,,true
Fittings,CPVC,ADAPTOR,Astral,ADAPTOR,,,M512111303,,pcs,49,49,,,,true
Fittings,CPVC,ADAPTOR,Astral,ADAPTOR,,,M512111304,,pcs,86.5,86.5,,,,true
Fittings,CPVC,ADAPTOR,Astral,ADAPTOR,,,M512111305,,pcs,122,122,,,,true
Fittings,CPVC,ADAPTOR,Astral,ADAPTOR,,,M512111306,,pcs,240,240,,,,true
Fittings,CPVC,MALE ADAPTOR,Astral,MALE ADAPTOR,,,M512111314,,pcs,45.5,45.5,,,,true
Fittings,CPVC,MALE ADAPTOR,Astral,MALE ADAPTOR,,,M512111316,,pcs,54,54,,,,true
Fittings,CPVC,ADAPTOR,Astral,ADAPTOR,,,M512112401,,pcs,44.5,44.5,,,,true
Fittings,CPVC,ADAPTOR,Astral,ADAPTOR,,,M512112402,,pcs,94,94,,,,true
Fittings,CPVC,ADAPTOR,Astral,ADAPTOR,,,M512112403,,pcs,158,158,,,,true
Fittings,CPVC,ADAPTOR,Astral,ADAPTOR,,,M512112404,,pcs,206,206,,,,true
Fittings,CPVC,ADAPTOR,Astral,ADAPTOR,,,M512112405,,pcs,254,254,,,,true
Fittings,CPVC,ADAPTOR,Astral,ADAPTOR,,,M512112406,,pcs,517,517,,,,true
Fittings,CPVC,CROSS-SOC,Astral,CROSS-SOC,,,M512110301,,pcs,122,122,,,,true
Fittings,CPVC,CROSS-SOC,Astral,CROSS-SOC,,,M512110314,,pcs,124,124,,,,true
Fittings,CPVC,CROSS-SOC,Astral,CROSS-SOC,,,M512110302,,pcs,198,198,,,,true
Fittings,CPVC,CROSS-SOC,Astral,CROSS-SOC,,,M512110315,,pcs,207,207,,,,true
Fittings,CPVC,CROSS-SOC,Astral,CROSS-SOC,,,M512110316,,pcs,305,305,,,,true
Fittings,CPVC,CROSS-SOC,Astral,CROSS-SOC,,,M512110303,,pcs,358,358,,,,true
